"type","name","res_id","src","value","fuzzy"
"error","account.voucher",0,"Partial Payments are not allowed (yet)!","Los pagos parciales no estan permitidos(Todavía)",0
"field","account.voucher,amount",0,"Pago","Total Pagado",0
"field","account.voucher,amount_pay",0,"Deuda","Total a Pagar",0
"field","account.voucher,company_id",0,"Company","Compañía",1
"field","account.voucher,currency_id",0,"Currency","Moneda",1
"field","account.voucher,date",0,"Date","Fecha",1
"field","account.voucher,journal_id",0,"Journal","Diario",1
"field","account.voucher,line_ids",0,"Lines","Líneas",1
"field","account.voucher,name",0,"Memo","Memo",0
"field","account.voucher,number",0,"Number","Número",1
"field","account.voucher,party",0,"Party","Terceros",1
"field","account.voucher,pay_amount_1",0,"Pay Amount 1","Monto Pago 1",0
"field","account.voucher,pay_amount_2",0,"Pay Amount 2","Monto Pago 2",0
"field","account.voucher,pay_mode_1",0,"Pay Mode 1","Modo de Pago 1",0
"field","account.voucher,pay_mode_2",0,"Pay Mode 2","Modo de Pago 2",0
"field","account.voucher,period_id",0,"Period","Período",1
"field","account.voucher,rec_name",0,"Name","Nombre de Contacto",1
"field","account.voucher,state",0,"State","Estado",1
"field","account.voucher,voucher_type",0,"Type","Tipo",1
"field","account.voucher.invoice_to_pay,line_ids",0,"Account Moves","Movimientos de Cuenta",1
"field","account.voucher.invoice_to_pay,name",0,"Name","Nombre de Contacto",1
"field","account.voucher.invoice_to_pay,party",0,"Party","Terceros",1
"field","account.voucher.line,account_id",0,"Account","Cuenta",1
"field","account.voucher.line,amount",0,"Amount","Cantidad",1
"field","account.voucher.line,amount_original",0,"Original Amount","Monto Original",0
"field","account.voucher.line,amount_unreconciled",0,"Unreconciled amount","Monto no Conciliado",0
"field","account.voucher.line,line_type",0,"Type","Tipo",1
"field","account.voucher.line,move_line_id",0,"Move Line","Línea de Movimiento",1
"field","account.voucher.line,name",0,"Name","Nombre de Contacto",1
"field","account.voucher.line,rec_name",0,"Name","Nombre de Contacto",1
"field","account.voucher.line,voucher_id",0,"Voucher","Voucher",0
"field","account.voucher.paymode,account_id",0,"Account","Cuenta",1
"field","account.voucher.paymode,name",0,"Name","Nombre de Contacto",1
"field","account.voucher.paymode,rec_name",0,"Name","Nombre de Contacto",1
"help","account.voucher,number",0,"Voucher Number","Numero",0
"model","account.voucher,name",0,"Account Check Voucher","Voucher",0
"model","account.voucher.invoice_to_pay,name",0,"account.voucher.invoice_to_pay","Facturas a Pagar",0
"model","account.voucher.line,name",0,"account.voucher.line","Lineas del Voucher",0
"model","account.voucher.paymode,name",0,"account.voucher.paymode","Formas de Pago(voucher)",0
"model","ir.action,name",,"Payments","Pagos",0
"model","ir.action,name","act_voucher_form","All Vouchers","Todos los Vouchers",0
"model","ir.action,name","act_voucher_payment_form","Payments","Pagos",0
"model","ir.action,name","act_voucher_receipt_form","Receipts","Recibos",0
"model","ir.action,name","wizard_select_invoices","""Select Invoices to Pay""","Seleccionar Facturas a Pagar",0
"model","ir.ui.menu,name",,"Payments","Pagos",0
"model","ir.ui.menu,name","menu_voucher_form","All Vouchers","Todos los Vouchers",0
"model","ir.ui.menu,name","menu_voucher_payment_form","Payments","Pagos",0
"model","ir.ui.menu,name","menu_voucher_receipt_form","Receipts","Recibos",0
"model","ir.ui.menu,name","menu_vouchers","Voucher","Voucher",0
"model","workflow,name","voucher_workflow","Account Voucher","Vouchers",0
"model","workflow.activity,name","act_voucher_cancel","Cancel","Cancelar",1
"model","workflow.activity,name","act_voucher_draft","Draft","Borrador",1
"model","workflow.activity,name","act_voucher_posted","Posted","Confirmado",1
"selection","account.voucher,state",0,"Cancelled","Cancelado",0
"selection","account.voucher,state",0,"Draft","Borrador",1
"selection","account.voucher,state",0,"Posted","Confirmado",1
"selection","account.voucher,state",0,"Pro-forma","Pro-Forma",0
"selection","account.voucher,voucher_type",0,"Payment","Pago",1
"selection","account.voucher,voucher_type",0,"Receipt","Recibos",0
"selection","account.voucher.line,line_type",0,"Credit","Crédito",1
"selection","account.voucher.line,line_type",0,"Debit","Débito",1
"view","account.voucher",0,"Lines","Líneas",1
"view","account.voucher",0,"Pay Modes","Modos de Pago",0
"view","account.voucher",0,"Voucher","Voucher",0
"view","account.voucher",0,"Voucher Lines","Lineas del Voucher",0
"view","account.voucher",0,"_Select Invoices to pay","Seleccionar Facturas a Pagar",0
"view","account.voucher",0,"_cancel","Cancelar",0
"view","account.voucher",0,"_pay","Confirmar",0
"view","account.voucher.invoice_to_pay",0,"Search Invoices","Buscar Facturas",0
"wizard_button","account.voucher.select_invoices,init,end",0,"Cancel","Cancelar",1
"wizard_button","account.voucher.select_invoices,init,open",0,"Open","Abrir",1
